Element,Line,Type,Energy
Co,Lb4,Emission Line,0.8662
Tc,Lb4,Escape Peak (Si),0.8954
Ti,La1,Sum Peak (2x),0.9036
Ti,La2,Sum Peak (2x),0.9036
Ti,Lb1,Sum Peak (2x),0.9164
Cl,Ka2,Escape Peak (Si),0.92
Cl,Ka1,Escape Peak (Si),0.922
Tc,Lb3,Escape Peak (Si),0.9253
Cu,La2,Emission Line,0.9277
Cu,La1,Emission Line,0.9277
Sc,Lb4,Sum Peak (2x),0.9394
Sc,Lb3,Sum Peak (2x),0.9394
Ni,Lb4,Emission Line,0.9406
Ni,Lb3,Emission Line,0.9424
Cu,Lb1,Emission Line,0.9473
Ru,Lb1,Escape Peak (Si),0.9828
Rh,La2,Escape Peak (Si),0.9921
Rh,La1,Escape Peak (Si),0.9968
O,Ka3,Sum Peak (2x),1.003
Na,Ka3,Emission Line,1.0073
Zn,La2,Emission Line,1.0116
Zn,La1,Emission Line,1.0117
Cu,Lb4,Emission Line,1.0194
V,La1,Sum Peak (2x),1.0202
V,La2,Sum Peak (2x),1.0202
Cu,Lb3,Emission Line,1.0216
Zn,Lb1,Emission Line,1.0347
V,Lb1,Sum Peak (2x),1.0356
Na,Ka1,Emission Line,1.0403
Na,Ka2,Emission Line,1.0404
Ru,Lb4,Escape Peak (Si),1.0407
O,Ka2,Sum Peak (2x),1.0498
O,Ka1,Sum Peak (2x),1.0498
Ti,Lb4,Sum Peak (2x),1.0566
Ti,Lb3,Sum Peak (2x),1.0566
Ru,Lb3,Escape Peak (Si),1.0625
Ga,La2,Emission Line,1.0977
Ga,La1,Emission Line,1.0977
Zn,Lb4,Emission Line,1.1048
Zn,Lb3,Emission Line,1.1076
Cl,Kb3,Escape Peak (Si),1.112
Cl,Kb1,Escape Peak (Si),1.112
Ga,Lb1,Emission Line,1.1245
Pd,La2,Escape Peak (Si),1.1325
Rh,Lb1,Escape Peak (Si),1.1341
Pd,La1,Escape Peak (Si),1.1378
Cr,La1,Sum Peak (2x),1.1442
Cr,La2,Sum Peak (2x),1.1442
Cr,Lb1,Sum Peak (2x),1.1636
V,Lb4,Sum Peak (2x),1.179
V,Lb3,Sum Peak (2x),1.179
Ar,Ka3,Escape Peak (Si),1.1796
Ge,La2,Emission Line,1.1872
Ge,La1,Emission Line,1.1878
Rh,Lb4,Escape Peak (Si),1.1907
Ga,Lb4,Emission Line,1.1955
Ga,Lb3,Emission Line,1.199
Mg,Ka3,Emission Line,1.2144
Rh,Lb3,Escape Peak (Si),1.2155
Ge,Lb1,Emission Line,1.2183
Mg,Ka2,Emission Line,1.2534
Mg,Ka1,Emission Line,1.25379
Ar,Ka2,Escape Peak (Si),1.2553
Ar,Ka1,Escape Peak (Si),1.2575
